# Firmware effect ids — the authoritative table.
#
# Extracted from led-matrix-controller/src/TcpMatrixServer.cpp (the effect-id
# switch in TcpMatrixServer::applyCommand) and documented in that repo's
# CLIENT_PROTOCOL.md. Effect id 0 is the 'stop effect' sentinel.
#
# PresetSpecTests asserts Presets.effects matches this file exactly, so a
# firmware change shows up here as a failing test rather than as the panel
# quietly playing the wrong animation.
#
# id	name
0	stop
1	chase
2	color_wipe
3	blink
4	wave
5	rain
6	meteor
7	rainbow
8	breathing
9	scanner
10	sparkle
11	fire
12	matrix_rain
13	ripple
14	theater_chase
15	twinkle
16	comet
17	plasma
18	diagonal
19	border_chase
20	heartbeat
21	pulse_wipe
22	confetti
